date,open,close,high,low,volume
21-Apr-11,5882.85,5884.7,5912.9,5864.35,134157.09
25-Apr-11,5859.6,5874.5,5906.6,5857,100768.12
26-Apr-11,5876.85,5868.4,5893.2,5791.55,119953.11
27-Apr-11,5884.2,5833.9,5892.35,5819.95,116330.63
28-Apr-11,5851.35,5785.45,5856.4,5776.95,158987.24
29-Apr-11,5782.5,5749.5,5804.3,5706.05,134415.23
02-May-11,5766.9,5701.3,5775.25,5687.7,95547.82
03-May-11,5689.7,5565.25,5710.8,5554.85,132583.08
04-May-11,5567.7,5537.15,5578.8,5503,120095.29
05-May-11,5531.6,5459.85,5560.3,5443.65,107266.56
06-May-11,5477.65,5551.45,5564.4,5472.45,121720.5
09-May-11,5575.2,5551.1,5586.05,5502.4,85122.17
10-May-11,5555.55,5541.25,5592.9,5514.55,86639.23
11-May-11,5547.2,5565.05,5574.7,5525,95806.44
12-May-11,5537.8,5486.15,5572.5,5476.3,92983.28
13-May-11,5492.35,5544.75,5605,5472.15,106328.18
16-May-11,5541.7,5499,5541.8,5487.65,83865.61
17-May-11,5496.1,5438.95,5523.85,5421.05,106807.7
18-May-11,5448.2,5420.6,5460.5,5401.25,105561.36
19-May-11,5448.15,5428.1,5452.6,5411.25,94339.52
20-May-11,5450.65,5486.35,5517.55,5432.75,101848.39
23-May-11,5456.7,5386.55,5456.7,5373,92485.53
24-May-11,5385.1,5394.85,5422.6,5367.45,96198.58
25-May-11,5389.1,5348.95,5389.1,5328.7,104842.16
26-May-11,5372.75,5412.35,5422.2,5356.35,141113.35
27-May-11,5413.7,5476.1,5485.8,5413.6,117937.13
30-May-11,5493.75,5473.1,5509.3,5458.6,96434.07
31-May-11,5492,5560.15,5571.6,5489.7,153233.82
01-Jun-11,5561.05,5592,5597.35,5559.45,99950.85
02-Jun-11,5529.9,5550.35,5568.2,5521.95,100039.59
03-Jun-11,5565.7,5516.75,5604.95,5507.2,98308.98
06-Jun-11,5504.3,5532.05,5542.65,5479.85,79824.33
07-Jun-11,5509.15,5556.15,5570.1,5507.8,87117.63
08-Jun-11,5535.25,5526.85,5556.6,5514.9,89005.25
09-Jun-11,5523.55,5521.05,5540.1,5502.05,80494.19
10-Jun-11,5518.05,5485.8,5521.45,5457.45,89595.91
13-Jun-11,5469.85,5482.8,5496.7,5436.95,86861.1
14-Jun-11,5485.6,5500.5,5520.15,5484.2,102009.36
15-Jun-11,5494.45,5447.5,5499.35,5438.95,96556.63
16-Jun-11,5419.65,5396.75,5447.5,5389.8,108811.77
17-Jun-11,5412.5,5366.4,5421.15,5355.85,95909.53
20-Jun-11,5372.2,5257.9,5377.4,5195.9,120991.7
21-Jun-11,5280.8,5275.85,5322.45,5257,95916.36
22-Jun-11,5304.65,5278.3,5310.5,5262.5,87647.84
23-Jun-11,5269.1,5320,5330.6,5252.25,89984.43
24-Jun-11,5343.4,5471.25,5477.85,5343.4,123924.95
27-Jun-11,5441.2,5526.6,5552.65,5434.25,116642.27
28-Jun-11,5548.85,5545.3,5558.3,5496.35,105714.47
29-Jun-11,5566.5,5600.45,5608.65,5566.5,114577.59
30-Jun-11,5614.5,5647.4,5657.9,5606.1,154686.5
01-Jul-11,5705.75,5627.2,5705.8,5609.75,111330.62
04-Jul-11,5679.55,5650.5,5679.65,5633.1,99657.77
05-Jul-11,5659.85,5632.1,5659.85,5612.3,107523.38
06-Jul-11,5622.7,5625.45,5655.4,5610.75,98813.12
07-Jul-11,5633.35,5728.95,5737.15,5632.95,120235.61
08-Jul-11,5734.65,5660.65,5740.4,5651.05,122694.05
11-Jul-11,5648.05,5616.1,5652.9,5601.7,86600.33
12-Jul-11,5556.9,5526.15,5580.25,5496.95,109545.13
13-Jul-11,5542.05,5585.45,5596.15,5541.4,97756.64
14-Jul-11,5569,5599.8,5653.95,5541.7,117352.49
15-Jul-11,5602.95,5581.1,5631.7,5562.75,88159.47
